user_location,text,category
,Iba yung sinabi ng forecast kanina. Nabigo nanaman,General Weather
,Graving ka init na man.. asa ta pwdi magpa bugnaw #CDO https://t.co/BzBVZ4lzQF,Extreme Heat / Heatwaves
,Patuloy na palalakasin ng nasabing bagyo ang #Habagat na magdadala ng pag-ulan sa kanlurang bahagi ng bansa kabilang na ang Metro Manila. [2/3],"Storms, Typhoons, and Wind Events"
,Weather behavior changing. Observation lang,General Weather
India,"Finally! After weeks of scorching heatwave conditions, North India is set to experience much-needed relief beginning Saturday, June 14, according to the India Meteorological Department (IMD). https://t.co/wjLvV4OjE6",Extreme Heat / Heatwaves
"Gumaca, Calabarzon","malamig, maulan, + rest day ko tomorrow = ultimate comfort 😩","Storms, Typhoons, and Wind Events"
,Katamtaman hanggang sa malakas na pag-ulan na may kasamang pagkidlat at malakas na hangin ang mararanasan sa mga sumusunod na lugar batay sa 12:32 p.m. advisory ng #PAGASA sa loob ng susunod na 2-3 oras: -Metro Manila -CALABARZON -Bulacan -Bataan -Pampanga [1/2] https://t.co/ujyF3SgnMp,Pollution
"Manila, Philippines","JUST IN: Magnitude 4.9 na lindol, yumanig sa katubigang sakop ng Dalupiri Island sa Cagayan Ayon sa @phivolcs_dost, walang inaasahang aftershocks at pinsala dahil sa lindol. | DZRH News https://t.co/X7b5JFfV54",Geological Events
,@QuoteChain_AI CT was busy aping the dip. I sold and fixed the roof on my grandma’s house in Cebu before monsoon season. First rain hit yesterday. Not a drop inside. Sometimes liquidity means keeping someone dry.,"Storms, Typhoons, and Wind Events"
,Yung baha na sa tuhod pero tuloy parin work kasi walang suspension ??,Coastal & Flooding Hazards
,Fault line mapping should be accessible to everyone,Geological Events
Philippines,"#WeatherAlert: The low pressure area is affecting Batanes and Cagayan on Independence Day 2025, while heavy rain from the southwest monsoon is hitting fewer areas. https://t.co/2EjnwC8kF7","Storms, Typhoons, and Wind Events"
,Yong ganito kainit tapos may Typhoon signal #1 bukas?? Tapos aakyat pa daw sa weekend @iamchabordo @DorisGrey6 😅 https://t.co/MVKRw82iGj,"Storms, Typhoons, and Wind Events"
,"Maaliwalas ang panahon, ang sarap maglaba.",General Weather
,@PhilNews24 Delubyo kapag ang ulan ay napalakas sa buong Metro Manila nakakatakot sipmleng ulan.,"Storms, Typhoons, and Wind Events"
Republic of the Philippines,"𝐁𝐚𝐥𝐢𝐤 𝐄𝐬𝐤𝐰𝐞𝐥𝐚: Ilang paaralan sa Calumpit, Bulacan, lubog pa rin sa baha dahil sa high tide at malalakas na pag-ulan nitong mga nakalipas na araw | via @iamKatrinaSon https://t.co/wqlFY05Qa3",Coastal & Flooding Hazards
,"🔥 IMD issues orange alert in Punjab, Haryana, Rajasthan till June 11. Delhi hit 42.1°C today, Kanpur 42.3°C, Nagpur 43°C. Heat index in NCR touched 47°C! Stay cool, hydrate, avoid peak sun. Is your city melting too?👇 #HeatWave2025 #ViralRadar https://t.co/WR0qal2LHi",Pollution
,Sana huwag gloomy yung weather bukas🥹🤞🏻,Extreme Heat / Heatwaves
21 kms away from the City 🍃,maypag matug ug sayu sa mabugnaw nga kagabhion . .. #cebualter #altercebu https://t.co/da1mcIqLcZ,Cold Weather / Temperature Drops
,"Update sa lebel sa Tubig! As of 06:02AM | June 16, 2025 Source: Installed Flood Monitoring Camera Maayong Buntag! Anaa sa NORMAL nga lebel ang tubig sa MENZI BRIDGE - SANTO TOMAS. ""Early Warning, Early Action!"" https://t.co/VCIg4pqP68","Storms, Typhoons, and Wind Events"
Republic of the Philippines,The rainy season is here! Enjoying the fog and cold weather! #philippines #TravelBigChallenge #rainyday #fog #itsmorefuninthephilippines #pilipinas #wowphilippines #choosephilippines #natgeotravel #natgeotravelpic #exploreph #travelph #wheninmanila #GoPh https://t.co/65n0lpCJLk,"Storms, Typhoons, and Wind Events"
,Future generations will inherit these compounding risks,Geological Events
"Quezon City, PHILIPPINES","Rainfall Advisory No. 12-Final #NCR_PRSD Weather System: Southwest Monsoon (Habagat) Issued at: 11:00 PM, 12 June 2025(Thursday) All Rainfall Advisory over NCR-PRSD forecast area are now TERMINATED. The public and the Disaster Risk Reduction and Management Offices concerned are","Storms, Typhoons, and Wind Events"
,Sharing this research paper about PH vulnerability to climate change,Coastal & Flooding Hazards
,"Ang lakas ng hampas ng alon, kaya nagpaalala na ang LGU.",Coastal & Flooding Hazards
"Manila, Philippines","Expect moderate to heavy rainshowers with lightning and strong winds in the following areas within the next two hours: Nueva Ecija Laguna Rizal Bulacan Metro Manila Pampanga Tarlac Zambales This is based on the thunderstorm advisory released by @dost_pagasa at 3:57 PM, https://t.co/lx72TrhMQh","Storms, Typhoons, and Wind Events"
,Thunderstorm rolling in MIKABADO SA NOMINATION,"Storms, Typhoons, and Wind Events"
,@fierceLady08 Baka FloodBath. o malawakang baha sa Davao. nasaan dinala ni Pulong ang Pondo doon? bakit bumaha? 😂😂😂😂😂😂😂😂,Coastal & Flooding Hazards
India,"🚨 Severe Thunderstorm &amp; Strong Wind Alert for Delhi NCR by IMD🌩️ 👉🏻 Thunderstorm with strong winds expected in the next few hours. 👉🏻 Possible Impacts: 🔹 Uprooting of trees, damage to temporary structures &amp; disruption of power lines 🔹 Life-threatening lightning, especially https://t.co/iwZVdEGRq5","Storms, Typhoons, and Wind Events"
,"@MasonRZambrano Walang plano ang hayop, baha nga lang eh, anong gagawin natin daw kuno.",Coastal & Flooding Hazards
,Baha season na naman mga bes! Time to bring out the bangka ??,Coastal & Flooding Hazards
"Queens, New York","RT @PlanUSA: Super Typhoon #Rai made landfall in the Philippines this week, affecting more than 4 million children and sending communities…","Storms, Typhoons, and Wind Events"
,Regional climate differences getting more extreme,Cold Weather / Temperature Drops
,Lava glow visible daw from afar. Nakakakaba,Geological Events
"Delhi, India",RT @Patriot_Delhi: A 100-feet tall mobile tower collapsed in south Delhi’s Safdarjung Enclave early Sunday due to strong winds and rain.…,"Storms, Typhoons, and Wind Events"
