word,language,sumvalue,weight,sentivalue
a,cebuano,-2.7143,0.137969,0
aalugalog,tagalog,Not Found,N/A,N/A
aam,tagalog,-0.7562,0.490669,0.009331
aangaanga,tagalog,Not Found,N/A,N/A
aapaapa,tagalog,Not Found,N/A,N/A
aba,cebuano,-2.0796,0.171048,-0.171048
aba,cebuano,-2.0796,0.171048,-0.171048
aba,tagalog,-1.1989,0.438078,-0.438078
aba,tagalog,-1.1989,0.438078,-0.438078
aba tuy,cebuano,Not Found,N/A,N/A
abaa,cebuano,Not Found,N/A,N/A
abab,cebuano,Not Found,N/A,N/A
abad,cebuano,0.5394,0.307542,0.192458
abag,cebuano,Not Found,N/A,N/A
abaga,cebuano,0.1688,0.288228,0.288228
abaga,cebuano,0.1688,0.288228,0.288228
abaga,cebuano,0.1688,0.288228,0.211772
abahin,tagalog,Not Found,N/A,N/A
abain,tagalog,0.6209,0.654261,-0.654261
abain,tagalog,0.6209,0.654261,-0.654261
abaka,cebuano,Not Found,N/A,N/A
abaka,cebuano,Not Found,N/A,N/A
abaka,tagalog,-0.3345,0.540764,-0.040764
abakada,cebuano,Not Found,N/A,N/A
abakada,cebuano,Not Found,N/A,N/A
abakada,tagalog,-0.2036,0.556315,-0.056315
abakadahin,tagalog,Not Found,N/A,N/A
abakadhan,cebuano,Not Found,N/A,N/A
abakal,cebuano,Not Found,N/A,N/A
abako,tagalog,-0.2929,0.545706,-0.045706
abal,cebuano,Not Found,N/A,N/A
abala,tagalog,0.3974,0.62771,-0.62771
abala,tagalog,0.3974,0.62771,-0.62771
abala,tagalog,0.3974,0.62771,-0.62771
abalahin,tagalog,0.545,0.645244,-0.645244
abalangabala,tagalog,Not Found,N/A,N/A
abaloryo,tagalog,0.1426,0.597441,0.597441
abalu,cebuano,Not Found,N/A,N/A
abalwasiyun,cebuano,Not Found,N/A,N/A
abanderado,tagalog,-0.3987,0.533138,-0.033138
abandonada,tagalog,Not Found,N/A,N/A
abandonadodo,tagalog,Not Found,N/A,N/A
abandunar,cebuano,Not Found,N/A,N/A
abandunu,cebuano,Not Found,N/A,N/A
abang,cebuano,-1.2708,0.2132,0.2868
abang,cebuano,-1.2708,0.2132,-0.2132
abang,tagalog,-0.8389,0.480844,0.019156
abangaba,tagalog,Not Found,N/A,N/A
abangan,cebuano,-0.5349,0.251553,0.251553
abangan,cebuano,-0.5349,0.251553,0.251553
abangan,tagalog,-0.4216,0.530417,0.530417
abangan,tagalog,-0.4216,0.530417,0.530417
abanid,cebuano,Not Found,N/A,N/A
abaniko,tagalog,0.1876,0.602787,-0.102787
abaniku,cebuano,Not Found,N/A,N/A
abanikuhan,tagalog,Not Found,N/A,N/A
abanikuhin,tagalog,Not Found,N/A,N/A
abano,tagalog,-0.9957,0.462217,0.037783
abansada,cebuano,Not Found,N/A,N/A
abansin,cebuano,Not Found,N/A,N/A
abante,cebuano,-0.1063,0.27389,0.27389
abante,tagalog,-0.2192,0.554461,0.554461
abante,tagalog,-0.2192,0.554461,-0.054461
abanti,cebuano,Not Found,N/A,N/A
abanu,cebuano,Not Found,N/A,N/A
abasto,tagalog,-0.6039,0.508761,-0.008761
abat,cebuano,-0.7804,0.238758,-0.238758
abat,cebuano,-0.7804,0.238758,-0.238758
abat,cebuano,-0.7804,0.238758,-0.238758
abat,cebuano,-0.7804,0.238758,-0.238758
abat,tagalog,-0.1414,0.563704,-0.563704
abatan,tagalog,-0.1471,0.563026,-0.563026
abatan,tagalog,-0.1471,0.563026,-0.563026
abatod,cebuano,Not Found,N/A,N/A
abay,cebuano,Not Found,N/A,N/A
abay,cebuano,Not Found,N/A,N/A
abay,cebuano,Not Found,N/A,N/A
abay,cebuano,Not Found,N/A,N/A
abay,cebuano,Not Found,N/A,N/A
abay,tagalog,-1.4177,0.412086,-0.412086
abay,tagalog,-1.4177,0.412086,-0.412086
abay mga,tagalog,Not Found,N/A,N/A
abay na babae,tagalog,Not Found,N/A,N/A
abay na lalaki,tagalog,Not Found,N/A,N/A
abay na pandangal,tagalog,Not Found,N/A,N/A
abayabay,cebuano,Not Found,N/A,N/A
abayan,tagalog,-0.5257,0.518051,0.518051
abdikasyon,tagalog,-0.179,0.559237,-0.059237
