user_location,text,category
,"Mabuti na lang yong nagtatanong buhay at hindi naging biktima ng Covid-19, sa aking palagay kung kasalukuyang presidente ang inabot noon depopulated na ang Pilipinas. Bagyo nga lang ang nagdaan hindi alam ang gagawin pero naubos pa ang kaban ng bayan at wala pang proyekto. https://t.co/kwNBe3oh6a","Storms, Typhoons, and Wind Events"
Thank you Techno,https://t.co/B1fTpvrhHi Bagyo sa pinas bike ride,"Storms, Typhoons, and Wind Events"
"Cebu City, Central Visayas","Beleno: Hindi naman natin maiiwasan ang mga bagyo pero dapat pansinin ito ng @DepEd_PH officials. I-upgrade ang classrooms, ayusin ang bentilasyon. Hindi dapat maantala ang pag-aaral. #MaynilaItoAngPilipinas","Storms, Typhoons, and Wind Events"
Republic of the Philippines,@SD_MISYU0411 Magandang araw Misyu! Halos tag-ulan na din sa Pilipinas. May bagong bagyo na dumating. Mag iingat ka palagi. Aasahan ko muli ang iyong pagbabalik sa aming bansa. Magkikitang muli tayo.,"Storms, Typhoons, and Wind Events"
"Folkestone, Kent ⚡ they/them",Baka kaya ayaw nila sa Manila kasi bagyo season na🥹 https://t.co/dsMyNkgGyz,"Storms, Typhoons, and Wind Events"
multistan,MATAAS ang tsansa na maging bagyo sa loob ng susunod na 24 na oras ang low pressure area (LPA) na binabantayan sa loob ng Philippine Area of Responsibility (PAR). https://t.co/tB4slyWKI0,"Storms, Typhoons, and Wind Events"
,Bagong LPA posibleng maging bagyo–Pagasa https://t.co/IgflRvDnrR,"Storms, Typhoons, and Wind Events"
stamaria or meycauayan Bulacan,Pinunto ng senadora bahagi ng ating laban para sa kalayaan ang pangangalaga sa kalikasan lalo’t laging dinadaanan ng mga bagyo at nakakaranas ng pagbaha ang ating bansa. | ulat ni Nimfa Asuncion BASAHIN | https://t.co/RU16bEizgY #RP1News #RadyoPilipinas #RadyoPubliko https://t.co/wYuKkYGxfa,"Storms, Typhoons, and Wind Events"
stamaria or meycauayan Bulacan,Pinunto ng senadora bahagi ng ating laban para sa kalayaan ang pangangalaga sa kalikasan lalo’t laging dinadaanan ng mga bagyo at nakakaranas ng pagbaha ang ating bansa. | ulat ni Nimfa Asuncion BASAHIN | https://t.co/RU16bEizgY #RP1News #RadyoPilipinas #RadyoPubliko https://t.co/wYuKkYGxfa,"Storms, Typhoons, and Wind Events"
UST 💛,RT @alammohaaa: ML Padin kahit may Tsunami na! Teluk mo boy! Nakakatakot magkaTsunami sa Pinas! #tsunami #lindol #sakuna #bagyo #ai #trendi…,Coastal & Flooding Hazards
,RT @TVPatrol: Tuluyan nang naging bagyo ang low pressure area sa gitna ng West Philippine Sea nang lumabas ito sa Philippine area of respon…,"Storms, Typhoons, and Wind Events"
"Baguio City, Cordillera Admin",Inaasahang aabot sa 11 hanggang 19 bagyo ang mabubuo o papasok sa Philippine Area of Responsibility (PAR) ayon sa PAGASA. Basahin: https://t.co/ypVkhhigKi #DWAR1494 #AbanteRadyo https://t.co/9ttJvj55Wf,"Storms, Typhoons, and Wind Events"
