word,sentiment_score
aalugalog,-2.0
aam,0.0
aangaanga,0.0
aapaapa,0.0
aba,-2.098165988922119
abahin,0.0
abain,-3.1215806007385254
abaka,0.0
abakada,0.0
abakadahin,0.0
abako,0.0
abala,-2.0808780193328857
abalahin,-2.124002456665039
abalangabala,0.0
abaloryo,2.049938917160034
abanderado,0.0
abandonada,-2.0
abandonadodo,-2.0
abang,0.0
abangaba,-2.0
abangan,2.102428674697876
abaniko,0.0
abanikuhan,0.0
abanikuhin,0.0
abano,0.0
abante,2.1035048961639404
abante!,0.0
abasto,0.0
abat,-2.1505823135375977
abatan,-2.0820868015289307
abay,-2.085238456726074
abay (mga ),0.0
abay na babae,0.0
abay na lalaki,2.0
abay na pandangal,0.0
abayan,2.1776976585388184
abdikasyon,0.0
abelyana,0.0
abenida,0.0
abentura,0.0
abenturera,0.0
abentureraro,0.0
abenturero,0.0
abenturosaso,2.0
aberia,-2.0
aberya,-2.164564609527588
abestrus,0.0
abilidad,2.136693239212036
abiso,0.0
abisuhan,0.0
abito,0.0
abitsuwelas,0.0
abitswelas,2.0
abla,-2.0
abnormal,-2.196408748626709
abo,0.0
abog,-3.116525650024414
abogado,0.0
abogasia,0.0
abogasya,0.0
abok,-2.119630813598633
abokado,0.0
abonado,0.0
abono,0.0
abonohan,0.0
aborsiyon,0.0
abot,2.0992088317871094
abot ng isang kabisa,0.0
abot ng isip,0.0
abot ng mata,0.0
abot ng tanaw,0.0
abot ng tingin,0.0
abotdinig,0.0
abotisip,0.0
abottanaw,0.0
abottingin,0.0
aboy,0.0
abrasador,0.0
abrasadurin,0.0
abrasete,0.0
abrasibo,-2.0
abrigo,0.0
abriguhan,0.0
abril,0.0
abrilata,0.0
abrisete,0.0
absen,-2.0
absent,-2.160529851913452
abses,0.0
abseso,0.0
absisa,0.0
abstinensiya,0.0
abstinensya,0.0
absulbihan,0.0
absulusyon,0.0
absulutismo,0.0
absulutista,0.0
absuluto,0.0
absuwelto,0.0
absuweltuhin,0.0
abswelto,0.0
abubot,-2.0083203315734863
abugado,0.0
abuhan,0.0
abuhin,2.105631113052368
abukado,0.0
abukay,0.0
abuloy,2.0990025997161865
abuluyan,0.0
abunado,0.0
aburido,-2.102393627166748
aburiduhin,-2.0
abusada,-2.2692837715148926
abusado,-2.2187869548797607
abusera,-2.0
abusero,-2.0
abuso,-2.1866114139556885
abusuhin,-2.1430647373199463
abutabot,0.0
abutabot na paninigarilyo,0.0
abutan,2.0573039054870605
abutin,2.1040148735046387
abuwela,0.0
abuwelo,0.0
abuyaboy,0.0
abyad,0.0
abyador,0.0
abyarin,0.0
abyasyon,0.0
abyog,0.0
ada,-1.9564090967178345
adarna,2.0836405754089355
adat,0.0
adberb,0.0
adberbyo,0.0
adbiyento,0.0
adelantada,-2.0
adelantado,2.1430633068084717
adelanto,0.0
adelpa,0.0
adhika,0.0
adhikain,2.1424665451049805
adik,-2.1321704387664795
adikto,-2.17195987701416
"adisyon, adisyon",0.0
adisyunal,0.0
adiyos,0.0
adlaw,-3.025020122528076
administrador,0.0
administrasyon,0.0
admiral,0.0
adobe,0.0
adobo,0.0
adobong palaka,0.0
adolesens,0.0
adolesent,0.0
adopsyon,0.0
adorador,2.0
adorasyon,0.0
adorno,0.0
adornohan,0.0
adres,0.0
adresan,0.0
adult,0.0
adulterado,-2.0
adulterasyon,0.0
adulto,0.0
adwana,0.0
adya,2.0963215827941895
adyenda,0.0
adyo,0.0
adyos,0.0
adyusan,0.0
aeroplano,0.0
aerostatiko,0.0
aga,0.0
agaas,0.0
agad,-3.204514980316162
agadagad,2.0
agag,0.0
agagan,0.0
agahan,0.0
"agahas, agahas",-2.0
agamagam,-2.157850503921509
agamagamin,-2.0
agamahan,0.0
agap,2.0839226245880127
agapan,2.1745431423187256
agapay,0.0
agapayanan,0.0
agapayang kabit,0.0
agapayang salikop,0.0
agaran,0.0
agarin,0.0
agas,-2.0769574642181396
agasas,-2.0
agata,0.0
agatat,-2.0
agawan,-2.136138439178467
agawaw,-2.0
agawbuhay,-2.0
agawdilim,-3.0
agawin,-2.1177573204040527
agawtulog,-2.0
agayay,3.0
agham,0.0
agham politiko,0.0
aghimo,0.0
aghimuan,0.0
aghimuin,0.0
agihap,-1.9299260377883911
agikik,-2.0
agila,2.0242373943328857
agimat,2.095315933227539
agimatan,0.0
aginaldo,0.0
aginalduhan,0.0
aginging,-3.0
agitit,-2.0
agiw,-1.9612081050872803
aglahi,-2.0
aglahiin,-2.0549848079681396
agnas,-2.031373977661133
agnasin,-2.0
agnos,0.0
agnostika,0.0
agnostiko,0.0
agong,0.0
agos,0.0
agosto,0.0
agoy,-2.0
agpang,2.0836098194122314
agpangan,0.0
agrabyado,-2.1985020637512207
agrabyaduhin,-2.0
agrarya,0.0
agraryo,0.0
agrasyadado,2.0
agrerian,0.0
agresibo,-2.1267871856689453
agridulse,0.0
agrikultor,0.0
agrikultura,0.0
agrikultural,0.0
agrimensor,0.0
agtas,-2.0
agting,-2.0
aguha,0.0
aguhilya,-2.158064126968384
aguho,2.1036484241485596
aguhon,0.0
